dataset,source_system,source_code,source_display,target_system,target_code,target_display,similarity,map_type
ayurveda-to-icd11-biomed,namaste-ayurveda,AYU,vyAdhi-viniScayaH,icd11-biomed,1435254666,Certain infectious or parasitic diseases,0.150,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AYU,vyAdhi-viniScayaH,icd11-biomed,1656445230,Asthma,0.118,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AYU,vyAdhi-viniScayaH,icd11-biomed,40398753,Acute appendicitis,0.111,related
ayurveda-to-icd11-biomed,namaste-ayurveda,DIS,vikAraH,icd11-biomed,1656445230,Asthma,0.143,related
ayurveda-to-icd11-biomed,namaste-ayurveda,DIS,vikAraH,icd11-biomed,915343154,Fever of other or unknown origin,0.094,related
ayurveda-to-icd11-biomed,namaste-ayurveda,DIS,vikAraH,icd11-biomed,761947693,Essential hypertension,0.091,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-1SK30,antarAyAmaH,icd11-biomed,1656445230,Asthma,0.273,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-1SK30,antarAyAmaH,icd11-biomed,761947693,Essential hypertension,0.182,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-1SK30,antarAyAmaH,icd11-biomed,1435254666,Certain infectious or parasitic diseases,0.150,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-2SK30,apatantrakaH,icd11-biomed,1435254666,Certain infectious or parasitic diseases,0.175,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-2SK30,apatantrakaH,icd11-biomed,40398753,Acute appendicitis,0.167,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-2SK30,apatantrakaH,icd11-biomed,1656445230,Asthma,0.167,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-2.1,asAdhya-apatantrakaH,icd11-biomed,1435254666,Certain infectious or parasitic diseases,0.150,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-2.1,asAdhya-apatantrakaH,icd11-biomed,40398753,Acute appendicitis,0.150,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-2.1,asAdhya-apatantrakaH,icd11-biomed,1656445230,Asthma,0.150,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-3SK30,apatAnakaH,icd11-biomed,1656445230,Asthma,0.200,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-3SK30,apatAnakaH,icd11-biomed,761947693,Essential hypertension,0.182,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-3SK30,apatAnakaH,icd11-biomed,1435254666,Certain infectious or parasitic diseases,0.125,related
ayurveda-to-icd11-biomed,namaste-ayurveda,SK20AAC-4,arditaH,icd11-biomed,40398753,Acute appendicitis,0.222,related
ayurveda-to-icd11-biomed,namaste-ayurveda,SK20AAC-4,arditaH,icd11-biomed,1656445230,Asthma,0.143,related
ayurveda-to-icd11-biomed,namaste-ayurveda,SK20AAC-4,arditaH,icd11-biomed,1435254666,Certain infectious or parasitic diseases,0.125,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-4.1,ardita-pUrvarupam,icd11-biomed,761947693,Essential hypertension,0.182,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-4.1,ardita-pUrvarupam,icd11-biomed,1435254666,Certain infectious or parasitic diseases,0.175,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-4.1,ardita-pUrvarupam,icd11-biomed,915343154,Fever of other or unknown origin,0.125,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-4.2,asAdhya-arditaH,icd11-biomed,40398753,Acute appendicitis,0.222,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-4.2,asAdhya-arditaH,icd11-biomed,1656445230,Asthma,0.200,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-4.2,asAdhya-arditaH,icd11-biomed,1435254666,Certain infectious or parasitic diseases,0.175,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-5SP0Y,asthipraBedaH,icd11-biomed,1656445230,Asthma,0.308,related
ayurveda-to-icd11-biomed,namaste-ayurveda,AAC-5SP0Y,asthipraBedaH,icd11-biomed,761947693,Essential hypertension,0.227,related
