dataset,source_system,source_code,source_display,target_system,target_code,target_display,similarity,map_type
ayurveda-to-icd11-tm2,namaste-ayurveda,AAB-13,ATopaH (kEvalavAta),icd11-tm2,1548101303,Headache due to internal Rīḥ disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,AAB-13,ATopaH (kEvalavAta),icd11-tm2,139252550,Headache due to external Rīḥ disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,AAB-14,AkShepakaH (kEvalavAta),icd11-tm2,2068261090,Trigeminal neuralgia disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,SK84-AAB-15,uccaiHSrutiH (kEvalavAta),icd11-tm2,28171409,Headache due to smell disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,AAB-16,udarAveShTaH (kEvalavAta),icd11-tm2,633371261,Referred headache due to the involvement of the stomach disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,AAB-16,udarAveShTaH (kEvalavAta),icd11-tm2,183208669,Referred headache due to the involvement of the peritoneum disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,AAB-17,udAvartaH (kEvalavAta),icd11-tm2,98365649,Headache due to derangement of Balgham disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,AAB-17,udAvartaH (kEvalavAta),icd11-tm2,793632017,Headache due to derangement of Ṣafrā’ disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,AAB-18,UrustamBaH/ADhyavAtaH (kEvalavAta),icd11-tm2,473685200,Headache due to derangement of Dam disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,AAB-19,UrusAdaH (kEvalavAta),icd11-tm2,1550804057,Headache due to excessive coldness disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,AAB-20,ekA~ggarogaH (kEvalavAta),icd11-tm2,1923491639,Headache due to excessive hotness disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,AAB-21,oShThaBedaH (kEvalavAta),icd11-tm2,2096962667,Migraine disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,SL02-AAB-22,kaNThodhvaMsaH (kEvalavAta),icd11-tm2,267839437,Headache due to external Bukhārāt disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,AAB-23,karNaSUlaH (kEvalavAta),icd11-tm2,28171409,Headache due to smell disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,AAB-23,karNaSUlaH (kEvalavAta),icd11-tm2,2096962667,Migraine disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,AAB-24,kampaH/vepathuH (kEvalavAta),icd11-tm2,1550804057,Headache due to excessive coldness disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,AAB-25-SM1Y,kaShAyAsyatA (kEvalavAta),icd11-tm2,2086317083,Headache due to infestation disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,SP97-AAB-26,klamaH (kEvalavAta),icd11-tm2,1456177627,Headache due to internal Bukhārāt disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,SN41-AAB-27,kArShNyam (kEvalavAta),icd11-tm2,256989117,Inflammatory headache disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,AAB-28,kubjatvam (kEvalavAta),icd11-tm2,139252550,Headache due to external Rīḥ disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,SP61-AAB-29,kArSyam (kEvalavAta),icd11-tm2,1548101303,Headache due to internal Rīḥ disorder (TM2),1.000,equivalent
ayurveda-to-icd11-tm2,namaste-ayurveda,SN4C-AAB-30,keSaBUmisPuTanam (kEvalavAta),icd11-tm2,2086317083,Headache due to infestation disorder (TM2),1.000,equivalent
