dataset,source_system,source_code,source_display,target_system,target_code,target_display,similarity,map_type
ayurveda-to-icd11-tm2,namaste-ayurveda,AYU,vyAdhi-viniScayaH,icd11-tm2,1440172857,Eyelid constriction disorder (TM2),0.176,related
ayurveda-to-icd11-tm2,namaste-ayurveda,AYU,vyAdhi-viniScayaH,icd11-tm2,1518906216,Cystolithiasis disorder (TM2),0.172,related
ayurveda-to-icd11-tm2,namaste-ayurveda,AYU,vyAdhi-viniScayaH,icd11-tm2,85602009,Cervicobrachial pain disorder (TM2),0.171,related
ayurveda-to-icd11-tm2,namaste-ayurveda,DIS,vikAraH,icd11-tm2,491894702,Uvulitis disorder (TM2),0.130,related
ayurveda-to-icd11-tm2,namaste-ayurveda,DIS,vikAraH,icd11-tm2,1304317005,Volvulus disorder (TM2),0.130,related
ayurveda-to-icd11-tm2,namaste-ayurveda,DIS,vikAraH,icd11-tm2,358980461,Oliguria disorder (TM2),0.130,related
ayurveda-to-icd11-tm2,namaste-ayurveda,A,doShavaiShamyam,icd11-tm2,408192604,Ear disorder due to three dosha (TM2),0.135,related
ayurveda-to-icd11-tm2,namaste-ayurveda,A,doShavaiShamyam,icd11-tm2,1096878100,Ascites disorder due to three dosha (TM2),0.122,related
ayurveda-to-icd11-tm2,namaste-ayurveda,A,doShavaiShamyam,icd11-tm2,1538318644,Cararact due to three dosha disorder (TM2),0.119,related
ayurveda-to-icd11-tm2,namaste-ayurveda,AA,vAtavyAdhiH,icd11-tm2,557452938,Integumentary disorder due to vata (TM2),0.100,related
ayurveda-to-icd11-tm2,namaste-ayurveda,AA,vAtavyAdhiH,icd11-tm2,1166926447,Integumentary disorder due to vata and pitta (TM2),0.100,related
ayurveda-to-icd11-tm2,namaste-ayurveda,AA,vAtavyAdhiH,icd11-tm2,1647929877,Weakness of thighs due to vata disorder (TM2),0.089,related
ayurveda-to-icd11-tm2,namaste-ayurveda,SR11-AAA-1,vAtasa~jcayaH,icd11-tm2,557452938,Integumentary disorder due to vata (TM2),0.125,related
