dataset,source_system,source_code,source_display,target_system,target_code,target_display,similarity,map_type
siddha-to-icd11-biomed,namaste-siddha,A,Vaḷarcitai Māṟṟa Nōykaḷ,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,AA,Kallīral Nōy,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,AAB,Aẕal,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,AAB1.1,Aẕal Kallīral Nōy,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,AAC,Aiyam,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,AAC1,Aiya Kallīral Nōy,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,AB,Mañcaḷ Nōy,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,ABA1.2,Kumpa Mañcaḷ Nōy,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,ABB,Aẕal,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,ABB1.1,Aẕal Mañcaḷ Nōy,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,ABB1.2,Aẕal Aiya Mañcaḷ Nōy,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,ABB1.3,Ūtu Mañcaḷ Nōy,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,ABB1.4,Vaṟaṭṭu Mañcaḷ Nōy,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,ABB1.5,Peru Mañcaḷ Nōy,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,ABB1.6,Aẕaku Mañcaḷ Nōy,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,ABB1.7,Ceṅkamala Mañcaḷ Nōy,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
