dataset,source_system,source_code,source_display,target_system,target_code,target_display,similarity,map_type
siddha-to-icd11-biomed,namaste-siddha,SID,Siddha,icd11-biomed,1656445230,Asthma,0.167,related
siddha-to-icd11-biomed,namaste-siddha,SID,Siddha,icd11-biomed,761947693,Essential hypertension,0.091,related
siddha-to-icd11-biomed,namaste-siddha,SID,Siddha,icd11-biomed,1435254666,Certain infectious or parasitic diseases,0.075,related
siddha-to-icd11-biomed,namaste-siddha,DIS,Disorder,icd11-biomed,1435254666,Certain infectious or parasitic diseases,0.150,related
siddha-to-icd11-biomed,namaste-siddha,DIS,Disorder,icd11-biomed,761947693,Essential hypertension,0.136,related
siddha-to-icd11-biomed,namaste-siddha,DIS,Disorder,icd11-biomed,1656445230,Asthma,0.125,related
siddha-to-icd11-biomed,namaste-siddha,A,Vaḷarcitai Māṟṟa Nōykaḷ,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,AA,Kallīral Nōy,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,AAA,Vaḷi,icd11-biomed,761947693,Essential hypertension,0.136,related
siddha-to-icd11-biomed,namaste-siddha,AAA,Vaḷi,icd11-biomed,40398753,Acute appendicitis,0.111,related
siddha-to-icd11-biomed,namaste-siddha,AAA,Vaḷi,icd11-biomed,1435254666,Certain infectious or parasitic diseases,0.050,related
siddha-to-icd11-biomed,namaste-siddha,AAA1.1,Vaḷi Kallīral Nōy,icd11-biomed,1435254666,Certain infectious or parasitic diseases,0.150,related
siddha-to-icd11-biomed,namaste-siddha,AAA1.1,Vaḷi Kallīral Nōy,icd11-biomed,761947693,Essential hypertension,0.136,related
siddha-to-icd11-biomed,namaste-siddha,AAA1.1,Vaḷi Kallīral Nōy,icd11-biomed,915343154,Fever of other or unknown origin,0.125,related
siddha-to-icd11-biomed,namaste-siddha,AAB,Aẕal,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,AAB1.1,Aẕal Kallīral Nōy,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,AAC,Aiyam,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,AAC1,Aiya Kallīral Nōy,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,AB,Mañcaḷ Nōy,icd11-biomed,915343154,Fever of other or unknown origin,1.000,equivalent
siddha-to-icd11-biomed,namaste-siddha,ABA,Vaḷi,icd11-biomed,761947693,Essential hypertension,0.136,related
siddha-to-icd11-biomed,namaste-siddha,ABA,Vaḷi,icd11-biomed,40398753,Acute appendicitis,0.111,related
siddha-to-icd11-biomed,namaste-siddha,ABA,Vaḷi,icd11-biomed,1435254666,Certain infectious or parasitic diseases,0.050,related
siddha-to-icd11-biomed,namaste-siddha,ABA1.1,Vaḷi Mañcaḷ Nōy,icd11-biomed,1435254666,Certain infectious or parasitic diseases,0.125,related
siddha-to-icd11-biomed,namaste-siddha,ABA1.1,Vaḷi Mañcaḷ Nōy,icd11-biomed,915343154,Fever of other or unknown origin,0.094,related
