dataset,source_system,source_code,source_display,target_system,target_code,target_display,similarity,map_type
siddha-to-icd11-tm2,namaste-siddha,SID,Siddha,icd11-tm2,1606080290,Skin disorders (TM2),0.200,related
siddha-to-icd11-tm2,namaste-siddha,SID,Siddha,icd11-tm2,462864539,Seizure disorder (TM2),0.182,related
siddha-to-icd11-tm2,namaste-siddha,SID,Siddha,icd11-tm2,1715150450,Scabies disorder (TM2),0.182,related
siddha-to-icd11-tm2,namaste-siddha,DIS,Disorder,icd11-tm2,1477455511,Splitting pain of forehead disorder (TM2),1.000,equivalent
siddha-to-icd11-tm2,namaste-siddha,DIS,Disorder,icd11-tm2,1488428775,Cephalalgia disorder (TM2),1.000,equivalent
siddha-to-icd11-tm2,namaste-siddha,DIS,Disorder,icd11-tm2,316699522,Heaviness of head disorder (TM2),1.000,equivalent
siddha-to-icd11-tm2,namaste-siddha,AAA,Vaḷi,icd11-tm2,2114808325,Wheal disorder (TM2),0.150,related
siddha-to-icd11-tm2,namaste-siddha,AAA,Vaḷi,icd11-tm2,490388898,Ranula disorder (TM2),0.143,related
siddha-to-icd11-tm2,namaste-siddha,AAA,Vaḷi,icd11-tm2,985195023,Varicose ulcer disorder (TM2),0.138,related
siddha-to-icd11-tm2,namaste-siddha,AAA1.1,Vaḷi Kallīral Nōy,icd11-tm2,1537949129,Boils in the axilla disorder (TM2),0.235,related
siddha-to-icd11-tm2,namaste-siddha,AAA1.1,Vaḷi Kallīral Nōy,icd11-tm2,468572879,Otalgia disorder (TM2),0.227,related
siddha-to-icd11-tm2,namaste-siddha,AAA1.1,Vaḷi Kallīral Nōy,icd11-tm2,673947354,Facial palsy disorder (TM2),0.222,related
siddha-to-icd11-tm2,namaste-siddha,ABA,Vaḷi,icd11-tm2,2114808325,Wheal disorder (TM2),0.150,related
siddha-to-icd11-tm2,namaste-siddha,ABA,Vaḷi,icd11-tm2,490388898,Ranula disorder (TM2),0.143,related
siddha-to-icd11-tm2,namaste-siddha,ABA,Vaḷi,icd11-tm2,985195023,Varicose ulcer disorder (TM2),0.138,related
siddha-to-icd11-tm2,namaste-siddha,ABA1.1,Vaḷi Mañcaḷ Nōy,icd11-tm2,468572879,Otalgia disorder (TM2),0.227,related
siddha-to-icd11-tm2,namaste-siddha,ABA1.1,Vaḷi Mañcaḷ Nōy,icd11-tm2,1101187225,Gastric dyscrasia disorder (TM2),0.219,related
siddha-to-icd11-tm2,namaste-siddha,ABA1.1,Vaḷi Mañcaḷ Nōy,icd11-tm2,1033187646,Splenic dyscrasia disorder (TM2),0.219,related
siddha-to-icd11-tm2,namaste-siddha,ABD,Mukkuṟṟam,icd11-tm2,633060687,Mukkuṟṟam aggravation and headache disorder (TM2),1.000,equivalent
siddha-to-icd11-tm2,namaste-siddha,ABD,Mukkuṟṟam,icd11-tm2,1809663796,Cough due to derangement of Mukkuṟṟam disorder (TM2),1.000,equivalent
