dataset,source_system,source_code,source_display,target_system,target_code,target_display,similarity,map_type
unani-to-icd11-tm2,namaste-unani,O-6,Ruṭūbat Gharīziyya,icd11-tm2,1855107064,Acute bronchitis disorder (TM2),0.194,related
unani-to-icd11-tm2,namaste-unani,O-6,Ruṭūbat Gharīziyya,icd11-tm2,1769763180,Tumour of pharynx disorder (TM2),0.188,related
unani-to-icd11-tm2,namaste-unani,O-6,Ruṭūbat Gharīziyya,icd11-tm2,1603687979,Marginal chalazion disorder (TM2),0.182,related
unani-to-icd11-tm2,namaste-unani,A,Amrāḍ-i-Niẓām-i-A‘ṣāb-o-Dimāgh,icd11-tm2,289294765,Anaemia disorder with hypoproteineamia (TM2),0.159,related
unani-to-icd11-tm2,namaste-unani,A,Amrāḍ-i-Niẓām-i-A‘ṣāb-o-Dimāgh,icd11-tm2,1837916653,Haemorrhoid disorder due to blood (TM2),0.154,related
unani-to-icd11-tm2,namaste-unani,A,Amrāḍ-i-Niẓām-i-A‘ṣāb-o-Dimāgh,icd11-tm2,2008084300,Keratitis disorder (TM2),0.129,related
unani-to-icd11-tm2,namaste-unani,A-1,Bayḍa-o-Khūdha,icd11-tm2,408192604,Ear disorder due to three dosha (TM2),0.189,related
unani-to-icd11-tm2,namaste-unani,A-1,Bayḍa-o-Khūdha,icd11-tm2,575613828,Bladder carcinoma disorder (TM2),0.188,related
unani-to-icd11-tm2,namaste-unani,A-1,Bayḍa-o-Khūdha,icd11-tm2,254818757,Brain disease disorder (TM2),0.179,related
unani-to-icd11-tm2,namaste-unani,A-19.3,Mālankhūliyā Ṣafrāwī,icd11-tm2,793632017,Headache due to derangement of Ṣafrā’ disorder (TM2),0.388,related
unani-to-icd11-tm2,namaste-unani,A-19.3,Mālankhūliyā Ṣafrāwī,icd11-tm2,1113651473,Vertigo and giddiness due to Ṣafrā’ disorder (TM2),0.388,related
unani-to-icd11-tm2,namaste-unani,A-19.3,Mālankhūliyā Ṣafrāwī,icd11-tm2,840015529,Conjunctivitis due to derangement of Ṣafrā’ disorder (TM2),0.388,related
unani-to-icd11-tm2,namaste-unani,A-25.2,Sadr-o-Duwār Dimāghī Balghamī,icd11-tm2,98365649,Headache due to derangement of Balgham disorder (TM2),0.285,related
unani-to-icd11-tm2,namaste-unani,A-25.2,Sadr-o-Duwār Dimāghī Balghamī,icd11-tm2,1212870157,Vertigo and giddiness due to Balgham disorder (TM2),0.285,related
unani-to-icd11-tm2,namaste-unani,A-25.2,Sadr-o-Duwār Dimāghī Balghamī,icd11-tm2,1315700352,Stroke due to Balgham disorder (TM2),0.285,related
unani-to-icd11-tm2,namaste-unani,A-25.3,Sadr-o-Duwār Dimāghī Ṣafrāwī,icd11-tm2,793632017,Headache due to derangement of Ṣafrā’ disorder (TM2),0.285,related
unani-to-icd11-tm2,namaste-unani,A-25.3,Sadr-o-Duwār Dimāghī Ṣafrāwī,icd11-tm2,1113651473,Vertigo and giddiness due to Ṣafrā’ disorder (TM2),0.285,related
unani-to-icd11-tm2,namaste-unani,A-25.3,Sadr-o-Duwār Dimāghī Ṣafrāwī,icd11-tm2,840015529,Conjunctivitis due to derangement of Ṣafrā’ disorder (TM2),0.285,related
unani-to-icd11-tm2,namaste-unani,A-25.4,Sadr-o-Duwār Dimāghī Sawdāwī,icd11-tm2,2044752251,Headache due to derangement of Sawdā’ disorder (TM2),0.285,related
unani-to-icd11-tm2,namaste-unani,A-25.4,Sadr-o-Duwār Dimāghī Sawdāwī,icd11-tm2,137827444,Vertigo and giddiness due to Sawdā’ disorder (TM2),0.285,related
unani-to-icd11-tm2,namaste-unani,A-25.4,Sadr-o-Duwār Dimāghī Sawdāwī,icd11-tm2,1948824392,Epilepsy due to derangement of Sawdā’ disorder (TM2),0.285,related
unani-to-icd11-tm2,namaste-unani,A-25.5,Sadr-o-Duwār Shirkī,icd11-tm2,1360266422,Sour-food induced eye disorder (TM2),0.222,related
unani-to-icd11-tm2,namaste-unani,A-25.5,Sadr-o-Duwār Shirkī,icd11-tm2,1380109122,Catarrh-induced asthma disorder (TM2),0.216,related
unani-to-icd11-tm2,namaste-unani,A-25.5,Sadr-o-Duwār Shirkī,icd11-tm2,985195023,Varicose ulcer disorder (TM2),0.207,related
unani-to-icd11-tm2,namaste-unani,A-26,Lawā-o-Fayḥadhaj/ Bījīdhaq/ Al-Lawā,icd11-tm2,1640417330,Aggrevation of Aẕal causing neuralgia disorder (TM2),0.219,related
unani-to-icd11-tm2,namaste-unani,A-26,Lawā-o-Fayḥadhaj/ Bījīdhaq/ Al-Lawā,icd11-tm2,858983158,Aggrevation of Aẕal causing tremors disorder (TM2),0.219,related
unani-to-icd11-tm2,namaste-unani,A-26,Lawā-o-Fayḥadhaj/ Bījīdhaq/ Al-Lawā,icd11-tm2,1515966870,Pain in the ears due to aggrevation of Aẕal disorder (TM2),0.219,related
unani-to-icd11-tm2,namaste-unani,A-27,Kābūs/ Al-Khāniq/ Al-Jāthūm wa’l Nīdlān/ Khānūq/ Ḍāghūṭ,icd11-tm2,1640417330,Aggrevation of Aẕal causing neuralgia disorder (TM2),0.368,related
unani-to-icd11-tm2,namaste-unani,A-27,Kābūs/ Al-Khāniq/ Al-Jāthūm wa’l Nīdlān/ Khānūq/ Ḍāghūṭ,icd11-tm2,858983158,Aggrevation of Aẕal causing tremors disorder (TM2),0.368,related
unani-to-icd11-tm2,namaste-unani,A-27,Kābūs/ Al-Khāniq/ Al-Jāthūm wa’l Nīdlān/ Khānūq/ Ḍāghūṭ,icd11-tm2,1515966870,Pain in the ears due to aggrevation of Aẕal disorder (TM2),0.368,related
unani-to-icd11-tm2,namaste-unani,A-27.1,Kābūs Damawī,icd11-tm2,464776897,Pernicious Anaemia disorder (TM2),0.152,related
unani-to-icd11-tm2,namaste-unani,A-27.1,Kābūs Damawī,icd11-tm2,1715150450,Scabies disorder (TM2),0.136,related
unani-to-icd11-tm2,namaste-unani,A-27.1,Kābūs Damawī,icd11-tm2,2095278783,Earlobule inflammation disorder (TM2),0.135,related
unani-to-icd11-tm2,namaste-unani,A-27.2,Kābūs Balghamī,icd11-tm2,98365649,Headache due to derangement of Balgham disorder (TM2),1.000,equivalent
unani-to-icd11-tm2,namaste-unani,A-27.2,Kābūs Balghamī,icd11-tm2,1212870157,Vertigo and giddiness due to Balgham disorder (TM2),1.000,equivalent
unani-to-icd11-tm2,namaste-unani,A-27.2,Kābūs Balghamī,icd11-tm2,1315700352,Stroke due to Balgham disorder (TM2),1.000,equivalent
unani-to-icd11-tm2,namaste-unani,A-27.3,Kābūs Bārid,icd11-tm2,1715150450,Scabies disorder (TM2),0.182,related
unani-to-icd11-tm2,namaste-unani,A-27.3,Kābūs Bārid,icd11-tm2,1879459370,Polyps of ear disorder (TM2),0.179,related
unani-to-icd11-tm2,namaste-unani,A-27.3,Kābūs Bārid,icd11-tm2,2067818285,Apthous ulcer disorder (TM2),0.179,related
unani-to-icd11-tm2,namaste-unani,A-28,Ṣar‘,icd11-tm2,1715150450,Scabies disorder (TM2),0.136,related
unani-to-icd11-tm2,namaste-unani,A-28,Ṣar‘,icd11-tm2,1209404767,Scalp pain disorder (TM2),0.120,related
unani-to-icd11-tm2,namaste-unani,A-28,Ṣar‘,icd11-tm2,668613342,Stammering disorder (TM2),0.120,related
unani-to-icd11-tm2,namaste-unani,A-28.1,Ṣar‘ Dimāghī Sawdāwī,icd11-tm2,2044752251,Headache due to derangement of Sawdā’ disorder (TM2),0.325,related
unani-to-icd11-tm2,namaste-unani,A-28.1,Ṣar‘ Dimāghī Sawdāwī,icd11-tm2,137827444,Vertigo and giddiness due to Sawdā’ disorder (TM2),0.325,related
unani-to-icd11-tm2,namaste-unani,A-28.1,Ṣar‘ Dimāghī Sawdāwī,icd11-tm2,1948824392,Epilepsy due to derangement of Sawdā’ disorder (TM2),0.325,related
unani-to-icd11-tm2,namaste-unani,A-28.2,Ṣar‘ Dimāghī Aṣlī,icd11-tm2,668613342,Stammering disorder (TM2),0.240,related
unani-to-icd11-tm2,namaste-unani,A-28.2,Ṣar‘ Dimāghī Aṣlī,icd11-tm2,1076215290,Slow heart disorder (TM2),0.240,related
unani-to-icd11-tm2,namaste-unani,A-28.2,Ṣar‘ Dimāghī Aṣlī,icd11-tm2,21381775,Heart disorders (TM2),0.238,related
unani-to-icd11-tm2,namaste-unani,A-28.3,Ṣar‘ Shirkī,icd11-tm2,206612160,Supernumerary teeth disorder (TM2),0.206,related
unani-to-icd11-tm2,namaste-unani,A-28.3,Ṣar‘ Shirkī,icd11-tm2,1209404767,Scalp pain disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.3,Ṣar‘ Shirkī,icd11-tm2,668613342,Stammering disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.4,Ṣar‘ Las‘ī,icd11-tm2,1209404767,Scalp pain disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.4,Ṣar‘ Las‘ī,icd11-tm2,668613342,Stammering disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.4,Ṣar‘ Las‘ī,icd11-tm2,1076215290,Slow heart disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.5,Ṣar‘ al-Aṭfāl,icd11-tm2,1640417330,Aggrevation of Aẕal causing neuralgia disorder (TM2),0.511,related
unani-to-icd11-tm2,namaste-unani,A-28.5,Ṣar‘ al-Aṭfāl,icd11-tm2,858983158,Aggrevation of Aẕal causing tremors disorder (TM2),0.511,related
unani-to-icd11-tm2,namaste-unani,A-28.5,Ṣar‘ al-Aṭfāl,icd11-tm2,1515966870,Pain in the ears due to aggrevation of Aẕal disorder (TM2),0.511,related
unani-to-icd11-tm2,namaste-unani,A-28.6,Ṣar‘ Badanī,icd11-tm2,1209404767,Scalp pain disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.6,Ṣar‘ Badanī,icd11-tm2,668613342,Stammering disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.6,Ṣar‘ Badanī,icd11-tm2,1076215290,Slow heart disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.7,Ṣar‘ Aṭrāfī,icd11-tm2,668613342,Stammering disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.7,Ṣar‘ Aṭrāfī,icd11-tm2,1076215290,Slow heart disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.7,Ṣar‘ Aṭrāfī,icd11-tm2,1635022934,Sialorrhoea disorder (TM2),0.192,related
unani-to-icd11-tm2,namaste-unani,A-28.8,Ṣar‘ Raḥimī,icd11-tm2,1209404767,Scalp pain disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.8,Ṣar‘ Raḥimī,icd11-tm2,381547252,Heart pain disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.8,Ṣar‘ Raḥimī,icd11-tm2,1635022934,Sialorrhoea disorder (TM2),0.192,related
unani-to-icd11-tm2,namaste-unani,A-28.9,Ṣar‘ Khababī,icd11-tm2,916855720,Polyuria disorder due to Kapha (TM2),0.167,related
unani-to-icd11-tm2,namaste-unani,A-28.9,Ṣar‘ Khababī,icd11-tm2,668613342,Stammering disorder (TM2),0.160,related
unani-to-icd11-tm2,namaste-unani,A-28.9,Ṣar‘ Khababī,icd11-tm2,1076215290,Slow heart disorder (TM2),0.160,related
unani-to-icd11-tm2,namaste-unani,A-28.10,Ṣar‘ Khafīf,icd11-tm2,916855720,Polyuria disorder due to Kapha (TM2),0.167,related
unani-to-icd11-tm2,namaste-unani,A-28.10,Ṣar‘ Khafīf,icd11-tm2,668613342,Stammering disorder (TM2),0.160,related
unani-to-icd11-tm2,namaste-unani,A-28.10,Ṣar‘ Khafīf,icd11-tm2,1076215290,Slow heart disorder (TM2),0.160,related
unani-to-icd11-tm2,namaste-unani,A-28.11,Ṣar‘ Shadīd,icd11-tm2,1635022934,Sialorrhoea disorder (TM2),0.231,related
unani-to-icd11-tm2,namaste-unani,A-28.11,Ṣar‘ Shadīd,icd11-tm2,1269174210,Papillary trachoma disorder (TM2),0.212,related
unani-to-icd11-tm2,namaste-unani,A-28.11,Ṣar‘ Shadīd,icd11-tm2,213858904,Diarrhoea disorder (TM2),0.208,related
unani-to-icd11-tm2,namaste-unani,A-28.12,Ṣar‘ Ḍarbī,icd11-tm2,668613342,Stammering disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.12,Ṣar‘ Ḍarbī,icd11-tm2,1076215290,Slow heart disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.12,Ṣar‘ Ḍarbī,icd11-tm2,1635022934,Sialorrhoea disorder (TM2),0.192,related
unani-to-icd11-tm2,namaste-unani,A-28.13,Ṣar‘ Qalbī,icd11-tm2,1715150450,Scabies disorder (TM2),0.182,related
unani-to-icd11-tm2,namaste-unani,A-28.13,Ṣar‘ Qalbī,icd11-tm2,1209404767,Scalp pain disorder (TM2),0.160,related
unani-to-icd11-tm2,namaste-unani,A-28.13,Ṣar‘ Qalbī,icd11-tm2,668613342,Stammering disorder (TM2),0.160,related
unani-to-icd11-tm2,namaste-unani,A-28.14,Ṣar‘ Laylī,icd11-tm2,1715150450,Scabies disorder (TM2),0.182,related
unani-to-icd11-tm2,namaste-unani,A-28.14,Ṣar‘ Laylī,icd11-tm2,1209404767,Scalp pain disorder (TM2),0.160,related
unani-to-icd11-tm2,namaste-unani,A-28.14,Ṣar‘ Laylī,icd11-tm2,668613342,Stammering disorder (TM2),0.160,related
unani-to-icd11-tm2,namaste-unani,A-28.15,Ṣar‘ Marāqī,icd11-tm2,1209404767,Scalp pain disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.15,Ṣar‘ Marāqī,icd11-tm2,668613342,Stammering disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.15,Ṣar‘ Marāqī,icd11-tm2,1076215290,Slow heart disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.16,Ṣar‘ Nahārī,icd11-tm2,1209404767,Scalp pain disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.16,Ṣar‘ Nahārī,icd11-tm2,668613342,Stammering disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.16,Ṣar‘ Nahārī,icd11-tm2,1076215290,Slow heart disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-28.17,Ṣar‘ Shirkī Mi‘dī,icd11-tm2,654580944,Hard nephritis disorder (TM2),0.241,related
unani-to-icd11-tm2,namaste-unani,A-28.17,Ṣar‘ Shirkī Mi‘dī,icd11-tm2,1899630601,Small blisters disorder (TM2),0.241,related
unani-to-icd11-tm2,namaste-unani,A-28.17,Ṣar‘ Shirkī Mi‘dī,icd11-tm2,1209404767,Scalp pain disorder (TM2),0.240,related
unani-to-icd11-tm2,namaste-unani,A-28.18,Ṣar‘ Ḥissī,icd11-tm2,21381775,Heart disorders (TM2),0.238,related
unani-to-icd11-tm2,namaste-unani,A-28.18,Ṣar‘ Ḥissī,icd11-tm2,1899630601,Small blisters disorder (TM2),0.207,related
unani-to-icd11-tm2,namaste-unani,A-28.18,Ṣar‘ Ḥissī,icd11-tm2,1209404767,Scalp pain disorder (TM2),0.200,related
unani-to-icd11-tm2,namaste-unani,A-29,Sakta,icd11-tm2,1209404767,Scalp pain disorder (TM2),0.120,related
unani-to-icd11-tm2,namaste-unani,A-29,Sakta,icd11-tm2,1076215290,Slow heart disorder (TM2),0.120,related
unani-to-icd11-tm2,namaste-unani,A-29,Sakta,icd11-tm2,381547252,Heart pain disorder (TM2),0.120,related
unani-to-icd11-tm2,namaste-unani,A-29.1,Sakta Damwiyya,icd11-tm2,1373985328,Scrotal pain disorder (TM2),0.222,related
