dataset,source_system,source_code,source_display,target_system,target_code,target_display,similarity,map_type
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.1.1,Ayurveda,namaste-ayurveda,GE-6-SM1Y,tAlu-arbudaH,0.417,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.1.1,Ayurveda,namaste-ayurveda,LB-7,snAyudagdhaH,0.417,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.1.1,Ayurveda,namaste-ayurveda,LH-2,snAyuviddhaH,0.417,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.2.1,"Life process, cycle or span",namaste-ayurveda,SI-1.9,Siro arti basti vyApad,0.259,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.2.1,"Life process, cycle or span",namaste-ayurveda,SR15ABA-2.1,pittaprakopaH,0.222,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.2.1,"Life process, cycle or span",namaste-ayurveda,SR18ABA-3,pittaprasaraH,0.222,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.2.2,Salutary life,namaste-ayurveda,EB-8.12,antargulmaH,0.385,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.2.2,Salutary life,namaste-ayurveda,EL-2.11,upaplutA/aplutA,0.333,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.2.2,Salutary life,namaste-ayurveda,AAC-1SK30,antarAyAmaH,0.308,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.2.3,Unsalutary life,namaste-ayurveda,EB-8.12,antargulmaH,0.333,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.2.3,Unsalutary life,namaste-ayurveda,LE-2,mAMsagata-SalyaH,0.313,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.2.3,Unsalutary life,namaste-ayurveda,SN73-FA-2,akAlapalitaH/palitaH,0.300,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.2.4,High quality of life,namaste-ayurveda,FA-3.3,kaPaja khalityam/kaPaja khalati,0.258,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.2.4,High quality of life,namaste-ayurveda,SN73-FA-2,akAlapalitaH/palitaH,0.250,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.2.4,High quality of life,namaste-ayurveda,GD,jihvAgatarogaH,0.250,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.2.5,Poor quality of life,namaste-ayurveda,FA-3.3,kaPaja khalityam/kaPaja khalati,0.290,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.2.5,Poor quality of life,namaste-ayurveda,SN73-FA-2,akAlapalitaH/palitaH,0.250,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.2.5,Poor quality of life,namaste-ayurveda,ABB-26,akAlapalitaH (kEvalapitta),0.231,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.3.1,Three core principles of Ayurveda knowledge,namaste-ayurveda,SI-1.9,Siro arti basti vyApad,0.233,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.3.1,Three core principles of Ayurveda knowledge,namaste-ayurveda,ACB-28SL6Y,hRudayopalepaH (kEvala-kapha),0.209,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.3.1,Three core principles of Ayurveda knowledge,namaste-ayurveda,EM-2.8.22,hiMsArthakonmAdaH,0.209,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.4.1,Eight clinical specialties of Ayurveda,namaste-ayurveda,SG-3.14,timira vamanasya vyapadaH,0.263,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.4.1,Eight clinical specialties of Ayurveda,namaste-ayurveda,SH,virecanakarma-cikitsApacAraH,0.263,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.4.1,Eight clinical specialties of Ayurveda,namaste-ayurveda,SH-3.13,aBighAtina virecanavyApadaH,0.263,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.4.2,Treatment,namaste-ayurveda,EF-2.2.9-SM8D,sikatAmehaH,0.364,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.4.2,Treatment,namaste-ayurveda,AAC-27SM83,pratitUnI,0.333,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.4.2,Treatment,namaste-ayurveda,SM8D-EF-2,pramehaH,0.333,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.4.3,General medicine,namaste-ayurveda,EF-2.2.3-SM8D,sAndramehaH,0.313,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.4.3,General medicine,namaste-ayurveda,EF-2.2.14-SM8D,PenamehaH,0.313,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.4.3,General medicine,namaste-ayurveda,SM3G-EI-6.8,antra-vRuddhiH,0.313,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.4.4,Child and maternal health,namaste-ayurveda,EB-7.8,ghaTIyantragrahaNI,0.320,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.4.4,Child and maternal health,namaste-ayurveda,MB-1,skandagrahaH,0.320,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.4.4,Child and maternal health,namaste-ayurveda,ABB-36,lohitagandhAsyatA (kEvalapitta),0.290,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.4.5,Psychiatry,namaste-ayurveda,EM-8.16,asAdhyagraha,0.333,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.4.5,Psychiatry,namaste-ayurveda,HA,sandhigatarogaH,0.333,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.4.5,Psychiatry,namaste-ayurveda,K-11,asthigatavraNaH,0.333,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.4.6,Head and neck medicine,namaste-ayurveda,SH-4.9,upadravaH virecana vyApada,0.231,related
who-ayurveda-to-ayurveda,who-ayurveda,ITA-1.4.6,Head and neck medicine,namaste-ayurveda,DB-1,mandAgniH/ agnisAda,0.227,related
