Term ID,English term,Description,Sanskrit term in IAST,Sanskrit term,,
ITA-1.1.1,Ayurveda,"Ayurveda is a traditional system of medicine and health care which originated in the Indian subcontinent. The term Ayurveda denotes ""knowledge of life"". It is a compound of two words, ""ayu"" (life) and ""veda"" (knowledge). The discipline encompasses the physical, psychological, spiritual and social dimensions of life, deals with dynamic concepts of well-being, harmony, health promotion and longevity, and concerns itself with healthy, beneficial and advantageous aspects of human life as well as its unhealthy, deleterious and disadvantageous aspects.",Ayurvedah,आयुर्वेदः,,
ITA-1.2.1,"Life process, cycle or span","The coalescence of body, sense organs, mind and self that dynamically supports, nourishes and propagates itself despite its eventual disintegration. Ayurveda uses several terms as synonyms for life, based on the different perspectives under which they are understood.","āyuḥ, dhāri, jīvitam, nityaga, anubandhaḥ","आयुः, धारि, जीवितम्, नित्यग, अनुबन्धः",,
ITA-1.2.2,Salutary life,A mode of life that is advantageous for oneself and generally beneficial.,hitāyuḥ,हितायुः,,
ITA-1.2.3,Unsalutary life,A mode of life that is disadvantageous for oneself and generally detrimental.,ahitāyuḥ,अहितायुः,,
ITA-1.2.4,High quality of life,A lifestyle characterized by a high quotient of happiness.,sukhāyuḥ,सुखायुः,,
ITA-1.2.5,Poor quality of life,A lifestyle characterized by a low quotient of happiness.,duḥkhāyuḥ,दुःखायुः,,
ITA-1.3.1,Three core principles of Ayurveda knowledge,"The entire narrative of Ayurveda is woven coherently on the logical framework of etiology (hetu), symptomatology (linga) and therapeutics (aushadha).","trisūtrāyurvedaḥ, triskandha","त्रिसूत्रायुर्वेदः, त्रिस्कन्ध",,
ITA-1.4.1,Eight clinical specialties of Ayurveda,The eight branches of Ayurveda.,aṣṭāṅgāyurvedaḥ,अष्टा‌ङ्गायुर्वेदः,,
ITA-1.4.2,Treatment,,cikitsā,चिकित्सा,,
ITA-1.4.3,General medicine,The clinical speciality of Ayurveda dealing with the entire physical body and mind. The term kaya indicates the capacity of the organism to digest and metabolize food.,kāyacikitsā,कायचिकित्सा,,
ITA-1.4.4,Child and maternal health,The clinical speciality of Ayurveda dealing with child and maternal health and obstetrics; its scope extends to cover pre- and postnatal care.,"bālacikitsā, kaumārabhṛtyam","बालचिकित्सा, कौमारभृत्यम्",,
ITA-1.4.5,Psychiatry,The clinical speciality of Ayurveda dealing with the treatment of mental disorders.,"grahacikitsā, bhūtavidyā","ग्रहचिकित्सा, भूतविद्या",,
ITA-1.4.6,Head and neck medicine,"The clinical speciality of Ayurveda dealing with the treatment of diseases affecting the head and neck region (including ophthalmology, otorhinolaryngology and dentistry).","śālakyatantra, ūrdhvāṅgacikitsā","शालाक्यतन्त्र, ऊर्ध्वाङ्गचिकित्सा",,
ITA-1.4.7,Surgery,The clinical speciality of Ayurveda dealing with the removal of internal or external foreign bodies (shalya) through surgical intervention(s).,śalyacikitsā,शल्यचिकित्सा,,
ITA-1.4.8,Toxicology,The clinical speciality of Ayurveda dealing with the treatment of poisoning.,"viṣacikitsā, garacikitsā","विषचिकित्सा, गरचिकित्सा",,
ITA-1.4.9,Geriatrics,The clinical speciality of Ayurveda dealing with age-related issues and promoting health and well-being.,"rasāyanacikitsā, jarācikitsā","रसायनचिकित्सा, जराचिकित्सा",,
ITA-1.4.10,Fertility treatment,The clinical speciality of Ayurveda dealing with reproductive and sexual health.,"vājīkaraṇacikitsā, vṛṣacikitsā","वाजीकरणचिकित्सा, वृषचिकित्सा",,
ITA-1.4.11,"Obstetrics, gynecology",,"prasūtītantra, strīroga","प्रसूतितन्त्र, स्त्रीरोग",,
ITA-1.5.1,Knowledge system or treatise,A knowledge system is concise and informative and offers both theoretical and practical knowledge in its many subdisciplines. Ayurveda is considered as a knowledge system.,"śāstram, sūtram, śākhāvidyā, jñānam, tantram, vidhiḥ, vijñānam, lakṣaṇam","शास्त्रम्, सूत्रम्, शाखाविद्या, ज्ञानम्, तन्त्रम्, विधिः, विज्ञानम्, लक्षणम्",,
ITA-1.5.2,"Aphorism, summarized knowledge","A short, unambiguous sentence or aphoristic rule, as well as a term of summarized knowledge relating to a particular discipline.",sūtram,सूत्रम्,,
ITA-1.5.3,Branch of knowledge,Ayurveda is considered a branch of knowledge because it is derived from other Indian knowledge systems such as the Vedas.,śākhā,शाखा,,
ITA-1.5.4,"Knowledge, discipline","Systematized knowledge, learning or science.",vidyā,विद्या,,
ITA-1.5.5,"Understanding, religious knowledge",A wider form of knowledge centred on a cognitive event that is recognized when experienced.,jñānam,ज्ञानम्,,
ITA-1.5.6,"Treatise, structurally organized knowledge","A term that means literally to hold together on a thread, and figuratively to elaborate a structured and classified exposition of a subject.",tantram,तन्त्रम्,,
ITA-1.5.7,Mandatory injunction,An instruction or procedure stipulated in a text.,vidhiḥ,विधिः,,
ITA-1.5.8,Applied knowledge,Skill in the practical application of knowledge.,vijñānam,विज्ञानम्,,
ITA-1.5.9,Qualities of technical writing,"Good technical writing following structured sets of rules or instruments such as devices for composition and analysis of technical treatises (tantrayukti), sources of meaning (arthashraya), compositions (kalpana), inclinations (tacchilya) and explanations (vyakhya). These are literary devices to assist in comprehending the technical and hidden meanings of classical texts.",śāstraguṇāḥ,शास्त्रगुणाः,,
ITA-1.6.1,Devices for composition and analysis of technical treatises,"Devices required to compose, understand, criticize and evaluate a technical treatise.",tantrayuktiḥ,तन्त्रयुक्तिः,,
ITA-1.6.2,Extending the scope or inclusiveness of a rule,An authorial annotation enabling an item of useful knowledge from an external source to be incorporated in the text.,atideśaḥ,अतिदेशः,,
ITA-1.6.3,Retrospective cross-referencing,A reference to previous statements or sections of a text that are relevant to the topic being discussed.,atītāvekṣaṇam,अतीतावेक्षणम्,,
ITA-1.6.4,Topic or subject of discussion,"The topic of a subject, chapter or section being discussed.",adhikaraṇam,अधिकरणम्,,
ITA-1.6.5,Prospective cross-referencing,A prospective reference to statements from forthcoming chapters or sections of a text that are relevant to the topic being discussed.,anāgatavekṣaṇam,अनागतवेक्षणम्,,
ITA-1.6.6,Acceptance by not refuting,Acceptance of another viewpoint in a text by stating and not refuting it.,anumataḥ,अनुमतः,,
ITA-1.6.7,Acceptance of multiple conclusions,Listing multiple conclusions without refuting any of them.,anekāntaḥ,अनेकान्तः,,
ITA-1.6.8,Supporting a proposed hypothesis,Justifying a proposed hypothesis by providing a presumptive cause or rationale.,apadeśaḥ,अपदेशः,,
ITA-1.6.9,Statement of exception,A statement which indicates or includes an exception to a general rule.,apavargaḥ,अपवर्गः,,
ITA-1.6.10,Implied or inferred meaning,Making statements in such a way to allow room for different inferences or presumptions.,arthāpattiḥ,अर्थापत्तिः,,
ITA-1.6.11,Concise statement,A concise statement or summary account of a specific topic.,uddeśaḥ,उद्देशः,,
ITA-1.6.12,Consolidating an opinion by refuting other hypotheses,Reaffirming a statement by refuting contrary views from other sources.,uddhāraḥ,उद्धारः,,
ITA-1.6.13,Authoritative instruction,An instruction or injunction from a reliable and reputed authority in the field.,upadeśaḥ,उपदेशः,,
ITA-1.6.14,Extrapolation,An inference about a conjectured situation through reasoning and by analysis of statements.,ūhyam,ऊह्यम्,,
ITA-1.6.15,Definite conclusion,A statement which is absolute and not modified by its context.,ekāntaḥ,एकान्तः,,
ITA-1.6.16,Illustrative statement,An explanatory statement which develops subject matter by means of an example.,nidarśanam,निदर्शनम्,,
ITA-1.6.17,"Execution of appropriate action, mandatory instruction",An injunction or statement in the form of a command or order that is to be followed strictly without query or discussion.,niyogaḥ/ sanniyogaḥ,नियोगः/सन्नियोगः,,
ITA-1.6.18,Decision based on critical analysis,A decisive statement which reaches a conclusion or settles a topic after detailed consideration of all relevant and related facts.,nirṇayaḥ,निर्णयः,,
ITA-1.6.19,"Detailed description, elaboration of statement",A detailed description of previously listed topics.,nirdeśaḥ,निर्देशः,,
ITA-1.6.20,Technical definition,An illustrative statement understood only by experts with the specific domain knowledge.,nirvacanam,निर्वचनम्,,
ITA-1.6.21,Objecting or opposing a proposed hypothesis,"A possible objection to, or refuting of, the proposed hypothesis.",pūrvapakṣaḥ,पूर्वपक्षः,,
ITA-1.6.22,Negating or refuting an opposing viewpoint,A statement that negates the argument of the opponent.,pratyutsāraḥ,प्रत्युत्सारः,,
ITA-1.6.23,Partial description,A brief and incomplete or partial description of an extensive subject.,pradeśaḥ,प्रदेशः,,
ITA-1.6.24,"Aim, objective",A statement that clarifies the aims and objectives of a proposed activity or action.,prayojanam,प्रयोजनम्,,
ITA-1.6.25,Contextual repetition,Repetition of a previously cited statement when it acquires relevance in another context.,prasaṅgaḥ,प्रसङ्गः,,
ITA-1.6.26,"Union, compounding, a structured sentence (syntax)",An arrangement of words and sentences structured and ordered so as to make complete sense.,yogaḥ,योगः,,
ITA-1.6.27,Supply of ellipsis,A statement in which some word(s) are lacking and have to be correctly surmised and supplied to derive the exact meaning of a sentence in its given context.,vākyaśeṣaḥ,वाक्यशेषः,,
ITA-1.6.28,Optional instructions,A statement that allows several discretionary options.,vikalpanam,विकल्पनम्,,
ITA-1.6.29,Sequential narration or enumeration,The narration of a topic in the correct logical sequence.,vidhānam,विधानम्,,
ITA-1.6.30,Implying the opposite meaning,A statement whose meaning suggests the opposite of its ostensible expression.,viparyayaḥ,विपर्ययः,,
ITA-1.6.31,Lucid explanation,A statement which develops a subject matter in detail.,vyākhyānam,व्याख्यानम्,,
ITA-1.6.32,Inconclusive statement,An indefinite statement which leaves its ultimate conclusion in doubt.,saṃśayaḥ,संशयः,,
ITA-1.6.33,Enlisting one by one,A phrase or paragraph in which things with common characteristics are grouped together and enumerated.,samuccayaḥ,समुच्चयः,,
ITA-1.6.34,Statement indicating a source,A statement specifying when and where an event occurred.,sambhavaḥ,सम्भवः,,
ITA-1.6.35,Technical terminology limited to a school of thought,A technical terminology devised and used by only one school of thought.,svasañjñā,स्वसञ्ज्ञा,,
ITA-1.6.36,Extended reasoning,Extension or extrapolation of an argument or supportive reasoning from a different context.,hetvarthaḥ,हेत्वर्थः,,
ITA-1.6.37,Source of meaning,The word or part of a sentence which encapsulates the actual meaning.,arthāśrayaḥ,अर्थाश्रयः,,
ITA-1.6.38,"Concept, hypothesis","A conceptual construction, the work of the imagination.",kalpanā,कल्पना,,
ITA-1.6.39,Inclinations,"Description used to denote a particular inclination, tendency, or habit. Also refers to methods of diagnosis and treatment.",tācchilyam,ताच्छिल्यम्,,
ITA-1.6.40,"Explanation, commentary","An exegetical commentary on, or explanation of, Ayurvedic texts.",vyākhyā,व्याख्या,,
ITA-1.7.1,Theory,"An established theory that has been critically examined and accepted by qualified investigators. It may be common to all schools of thought, scripture and branches of science (sarvatantrasiddhantah) or particular to any one of them (pratitantrasiddhantah).",siddhāntaḥ,सिद्धान्तः,,
ITA-1.7.2,Doctrine,A statement which aims to establish authoritative knowledge based on affirmation or refutation of its evidence; in general Sanskrit literature it means a debate/thesis/ proposition/ argument.,vādaḥ,वादः,,
ITA-1.7.3,Rules for debate,Technical rules for an argument or debate.,vādamārgaḥ,वादमार्गः,,
ITA-1.7.4,Unquestionable statement,A statement which has exhausted the scope for further questioning.,ananuyojyam,अननुयोज्यम्,,
ITA-1.7.5,Question,A question or query raised to challenge the expressive power and scope of a statement and to clarify any ambiguity.,anuyogaḥ,अनुयोगः,,
ITA-1.7.6,Questionable statement,A statement which is beset with syntactical defects and requires clarification.,anuyojyam,अनुयोज्यम्,,
ITA-1.7.7,Unquestioning acceptance,"Unconditional acceptance of different positions, including those which are inconclusive.",abhyanujñā,अभ्यनुज्ञा,,
ITA-1.7.8,Implied meaning,A statement whose derived meaning allows for another interpretation.,arthaprāptiḥ,अर्थप्राप्तिः,,
ITA-1.7.9,Varying meaning or shifting the topic,A statement that is not relevant or applicable to its context.,arthāntaram,अर्थान्तरम्,,
ITA-1.7.10,Rejoinder,The response or reply to a challenge or objection.,uttaram,उत्तरम्,,
ITA-1.7.11,Application of proof,Applying the logic of the proposed example to arrive at a definite conclusion.,upanayaḥ,उपनयः,,
ITA-1.7.12,Abusive argument,Arguing with the sole intention of finding fault with an opponent's statement.,upālambhaḥ,उपालम्भः,,
ITA-1.7.13,Perverted or deceitful argument,A specious and verbose statement made with the sole intention of unnerving the opponent.,chalaḥ,छलः,,
ITA-1.7.14,Defensive argument,A debate in which the speaker resorts to quibbling and illegitimate commentary to argue their own case and refute that of their opponent.,jalpaḥ,जल्पः,,
ITA-1.7.15,Inquisitiveness,The desire to explore and investigate a particular topic out of curiosity and with the intention of knowing the truth.,jijñāsā,जिज्ञासा,,
ITA-1.7.16,Discussion amongst peers,A discussion among experts in the field in the manner of a peer-review.,tadvidyasambhāṣā,तद्विद्यसम्भाषा,,
ITA-1.7.17,"Deduction, conclusion",A deduction or conclusive statement; the final step of inference when affirming a proposed hypothesis.,nigamanam,निगमनम्,,
ITA-1.7.18,Point of defeat,Behaviour indicating that the opponent has reached the end of their argument and can no longer defend the stated viewpoint.,nigrahasthānam,निग्रहस्थानम्,,
ITA-1.7.19,Amendment of a faulty statement,Correction of faults or defects revealed in a previous statement.,parihāraḥ,परिहारः,,
ITA-1.7.20,"Proposition, proposed hypothesis",A statement requiring proof; the first step in the logical or inferential process of proving a hypothesis.,pratijñā,प्रतिज्ञा,,
ITA-1.7.21,Abandoning the hypothesis,"A shift from the original hypothesis, rejection of an initial statement in response to an opponent's views.",pratijñāhāniḥ,प्रतिज्ञाहानिः,,
ITA-1.7.22,Proving the alternate hypothesis,Offering a meaning or interpretation contrary to that of the proposed hypothesis.,pratiṣṭhāpanā,प्रतिष्ठापना,,
