Term ID,English term,Description,Sanskrit term in IAST,Sanskrit term,,,Section
 Background concepts ,,,,,,,"Unknown"
Term ID,English term,Description,Sanskrit term in IAST,Sanskrit term,,,"Unknown"
ITA-1.1.1,Ayurveda,"Ayurveda is a traditional system of medicine and health care which originated in the Indian subcontinent. The term Ayurveda denotes ""knowledge of life"". It is a compound of two words, ""ayu"" (life) and ""veda"" (knowledge). The discipline encompasses the physical, psychological, spiritual and social dimensions of life, deals with dynamic concepts of well-being, harmony, health promotion and longevity, and concerns itself with healthy, beneficial and advantageous aspects of human life as well as its unhealthy, deleterious and disadvantageous aspects.",Ayurvedah,आयुर्वेदः,,,"Unknown"
ITA-1.2.1,"Life process, cycle or span","The coalescence of body, sense organs, mind and self that dynamically supports, nourishes and propagates itself despite its eventual disintegration. Ayurveda uses several terms as synonyms for life, based on the different perspectives under which they are understood.","āyuḥ, dhāri, jīvitam, nityaga, anubandhaḥ","आयुः, धारि, जीवितम्, नित्यग, अनुबन्धः",,,"Unknown"
ITA-1.2.2,Salutary life,A mode of life that is advantageous for oneself and generally beneficial.,hitāyuḥ,हितायुः,,,"Unknown"
ITA-1.2.3,Unsalutary life,A mode of life that is disadvantageous for oneself and generally detrimental.,ahitāyuḥ,अहितायुः,,,"Unknown"
ITA-1.2.4,High quality of life,A lifestyle characterized by a high quotient of happiness.,sukhāyuḥ,सुखायुः,,,"Unknown"
ITA-1.2.5,Poor quality of life,A lifestyle characterized by a low quotient of happiness.,duḥkhāyuḥ,दुःखायुः,,,"Unknown"
ITA-1.3.1,Three core principles of Ayurveda knowledge,"The entire narrative of Ayurveda is woven coherently on the logical framework of etiology (hetu), symptomatology (linga) and therapeutics (aushadha).","trisūtrāyurvedaḥ, triskandha","त्रिसूत्रायुर्वेदः, त्रिस्कन्ध",,,"Unknown"
ITA-1.4.1,Eight clinical specialties of Ayurveda,The eight branches of Ayurveda.,aṣṭāṅgāyurvedaḥ,अष्टा‌ङ्गायुर्वेदः,,,"Unknown"
ITA-1.4.2,Treatment,,cikitsā,चिकित्सा,,,"Unknown"
ITA-1.4.3,General medicine,The clinical speciality of Ayurveda dealing with the entire physical body and mind. The term kaya indicates the capacity of the organism to digest and metabolize food.,kāyacikitsā,कायचिकित्सा,,,"Unknown"
ITA-1.4.4,Child and maternal health,The clinical speciality of Ayurveda dealing with child and maternal health and obstetrics; its scope extends to cover pre- and postnatal care.,"bālacikitsā, kaumārabhṛtyam","बालचिकित्सा, कौमारभृत्यम्",,,"Unknown"
ITA-1.4.5,Psychiatry,The clinical speciality of Ayurveda dealing with the treatment of mental disorders.,"grahacikitsā, bhūtavidyā","ग्रहचिकित्सा, भूतविद्या",,,"Unknown"
ITA-1.4.6,Head and neck medicine,"The clinical speciality of Ayurveda dealing with the treatment of diseases affecting the head and neck region (including ophthalmology, otorhinolaryngology and dentistry).","śālakyatantra, ūrdhvāṅgacikitsā","शालाक्यतन्त्र, ऊर्ध्वाङ्गचिकित्सा",,,"Unknown"
ITA-1.4.7,Surgery,The clinical speciality of Ayurveda dealing with the removal of internal or external foreign bodies (shalya) through surgical intervention(s).,śalyacikitsā,शल्यचिकित्सा,,,"Unknown"
ITA-1.4.8,Toxicology,The clinical speciality of Ayurveda dealing with the treatment of poisoning.,"viṣacikitsā, garacikitsā","विषचिकित्सा, गरचिकित्सा",,,"Unknown"
ITA-1.4.9,Geriatrics,The clinical speciality of Ayurveda dealing with age-related issues and promoting health and well-being.,"rasāyanacikitsā, jarācikitsā","रसायनचिकित्सा, जराचिकित्सा",,,"Unknown"
ITA-1.4.10,Fertility treatment,The clinical speciality of Ayurveda dealing with reproductive and sexual health.,"vājīkaraṇacikitsā, vṛṣacikitsā","वाजीकरणचिकित्सा, वृषचिकित्सा",,,"Unknown"
ITA-1.4.11,"Obstetrics, gynecology",,"prasūtītantra, strīroga","प्रसूतितन्त्र, स्त्रीरोग",,,"Unknown"
ITA-1.5.1,Knowledge system or treatise,A knowledge system is concise and informative and offers both theoretical and practical knowledge in its many subdisciplines. Ayurveda is considered as a knowledge system.,"śāstram, sūtram, śākhāvidyā, jñānam, tantram, vidhiḥ, vijñānam, lakṣaṇam","शास्त्रम्, सूत्रम्, शाखाविद्या, ज्ञानम्, तन्त्रम्, विधिः, विज्ञानम्, लक्षणम्",,,"Unknown"
ITA-1.5.2,"Aphorism, summarized knowledge","A short, unambiguous sentence or aphoristic rule, as well as a term of summarized knowledge relating to a particular discipline.",sūtram,सूत्रम्,,,"Unknown"
ITA-1.5.3,Branch of knowledge,Ayurveda is considered a branch of knowledge because it is derived from other Indian knowledge systems such as the Vedas.,śākhā,शाखा,,,"Unknown"
ITA-1.5.4,"Knowledge, discipline","Systematized knowledge, learning or science.",vidyā,विद्या,,,"Unknown"
ITA-1.5.5,"Understanding, religious knowledge",A wider form of knowledge centred on a cognitive event that is recognized when experienced.,jñānam,ज्ञानम्,,,"Unknown"
ITA-1.5.6,"Treatise, structurally organized knowledge","A term that means literally to hold together on a thread, and figuratively to elaborate a structured and classified exposition of a subject.",tantram,तन्त्रम्,,,"Unknown"
ITA-1.5.7,Mandatory injunction,An instruction or procedure stipulated in a text.,vidhiḥ,विधिः,,,"Unknown"
ITA-1.5.8,Applied knowledge,Skill in the practical application of knowledge.,vijñānam,विज्ञानम्,,,"Unknown"
ITA-1.5.9,Qualities of technical writing,"Good technical writing following structured sets of rules or instruments such as devices for composition and analysis of technical treatises (tantrayukti), sources of meaning (arthashraya), compositions (kalpana), inclinations (tacchilya) and explanations (vyakhya). These are literary devices to assist in comprehending the technical and hidden meanings of classical texts.",śāstraguṇāḥ,शास्त्रगुणाः,,,"Unknown"
ITA-1.6.1,Devices for composition and analysis of technical treatises,"Devices required to compose, understand, criticize and evaluate a technical treatise.",tantrayuktiḥ,तन्त्रयुक्तिः,,,"Unknown"
ITA-1.6.2,Extending the scope or inclusiveness of a rule,An authorial annotation enabling an item of useful knowledge from an external source to be incorporated in the text.,atideśaḥ,अतिदेशः,,,"Unknown"
ITA-1.6.3,Retrospective cross-referencing,A reference to previous statements or sections of a text that are relevant to the topic being discussed.,atītāvekṣaṇam,अतीतावेक्षणम्,,,"Unknown"
ITA-1.6.4,Topic or subject of discussion,"The topic of a subject, chapter or section being discussed.",adhikaraṇam,अधिकरणम्,,,"Unknown"
ITA-1.6.5,Prospective cross-referencing,A prospective reference to statements from forthcoming chapters or sections of a text that are relevant to the topic being discussed.,anāgatavekṣaṇam,अनागतवेक्षणम्,,,"Unknown"
ITA-1.6.6,Acceptance by not refuting,Acceptance of another viewpoint in a text by stating and not refuting it.,anumataḥ,अनुमतः,,,"Unknown"
ITA-1.6.7,Acceptance of multiple conclusions,Listing multiple conclusions without refuting any of them.,anekāntaḥ,अनेकान्तः,,,"Unknown"
ITA-1.6.8,Supporting a proposed hypothesis,Justifying a proposed hypothesis by providing a presumptive cause or rationale.,apadeśaḥ,अपदेशः,,,"Unknown"
ITA-1.6.9,Statement of exception,A statement which indicates or includes an exception to a general rule.,apavargaḥ,अपवर्गः,,,"Unknown"
ITA-1.6.10,Implied or inferred meaning,Making statements in such a way to allow room for different inferences or presumptions.,arthāpattiḥ,अर्थापत्तिः,,,"Unknown"
ITA-1.6.11,Concise statement,A concise statement or summary account of a specific topic.,uddeśaḥ,उद्देशः,,,"Unknown"
ITA-1.6.12,Consolidating an opinion by refuting other hypotheses,Reaffirming a statement by refuting contrary views from other sources.,uddhāraḥ,उद्धारः,,,"Unknown"
ITA-1.6.13,Authoritative instruction,An instruction or injunction from a reliable and reputed authority in the field.,upadeśaḥ,उपदेशः,,,"Unknown"
ITA-1.6.14,Extrapolation,An inference about a conjectured situation through reasoning and by analysis of statements.,ūhyam,ऊह्यम्,,,"Unknown"
ITA-1.6.15,Definite conclusion,A statement which is absolute and not modified by its context.,ekāntaḥ,एकान्तः,,,"Unknown"
ITA-1.6.16,Illustrative statement,An explanatory statement which develops subject matter by means of an example.,nidarśanam,निदर्शनम्,,,"Unknown"
ITA-1.6.17,"Execution of appropriate action, mandatory instruction",An injunction or statement in the form of a command or order that is to be followed strictly without query or discussion.,niyogaḥ/ sanniyogaḥ,नियोगः/सन्नियोगः,,,"Unknown"
ITA-1.6.18,Decision based on critical analysis,A decisive statement which reaches a conclusion or settles a topic after detailed consideration of all relevant and related facts.,nirṇayaḥ,निर्णयः,,,"Unknown"
ITA-1.6.19,"Detailed description, elaboration of statement",A detailed description of previously listed topics.,nirdeśaḥ,निर्देशः,,,"Unknown"
ITA-1.6.20,Technical definition,An illustrative statement understood only by experts with the specific domain knowledge.,nirvacanam,निर्वचनम्,,,"Unknown"
